N,P,K,temperature,humidity,ph,fertilizers
8,67,31,19.25100056,47.70351758,5.374358869,"Apply 25-30 kg N, 40-50 kg P2O5, 30 kg K2O per hectare at the time of sowing"
14,68,34,19.24462755,50.54495302,5.671419084,"Apply 25-30 kg N, 40-50 kg P2O5, 30 kg K2O per hectare at the time of sowing"
39,43,5,22.47253208,62.56532471,5.667419697,"Apply 25-30 kg N, 40-50 kg P2O5, 30 kg K2O per hectare at the time of sowing"
13,41,15,36.75087487,58.25799145,6.07938452,"Apply 25-30 kg N, 40-50 kg P2O5, 30 kg K2O per hectare at the time of sowing"
8,58,22,29.89286629,66.35375127,6.931924963,"Apply 25-30 kg N, 40-50 kg P2O5, 30 kg K2O per hectare at the time of sowing"
21,65,16,29.37735586,44.82294584,6.842744374,"Apply 25-30 kg N, 40-50 kg P2O5, 30 kg K2O per hectare at the time of sowing"
0,69,39,29.65052947,42.89833235,6.876572503,"Apply 25-30 kg N, 40-50 kg P2O5, 30 kg K2O per hectare at the time of sowing"
20,58,25,19.54284889,66.34777265,6.151029296,"Apply 25-30 kg N, 40-50 kg P2O5, 30 kg K2O per hectare at the time of sowing"
24,42,0,20.04611791,48.93905624,4.567446499,"Apply 25-30 kg N, 40-50 kg P2O5, 30 kg K2O per hectare at the time of sowing"
30,60,23,27.91095209,64.70930606,3.692863601,"Low N, High P : Add Ammonium Sulfate "
33,26,19,27.32220619,51.27868781,4.371745575,"Low N-P-K: Add Urea Fertilizer, Ammonium Polyphosphate (APP), Potassium tetrafluoroborate"
9,34,35,28.66024187,59.3189118,8.399135958,"Low N-P, High K : Add Urea Fertilizer, Add Diammonium Phosphate (DAP), dont add K rich nutrients"
8,45,28,29.02955344,61.09387478,8.840656256,Low N : Add N-Primer Nitrogen Supplement
29,59,24,27.78031515,54.65030015,8.153022903,"Low N, High P : Add N-Primer Nitrogen Supplement"
21,35,38,31.99928579,54.1077461,5.270749441,"Low N-P, High K : Add Urea Fertilizer, Add Concentrated Superphosphate (CSP), dont add K rich nutrients"
15,38,16,27.33580911,55.27755933,8.050304395,"Low N-K : Add Urea Fertilizer, Potassium-magnesium sulfate "
19,43,36,28.92952635,53.57014709,9.679240873,"Low N, High K : Add Urea Fertilizer, dont add K rich nutrients"
8,20,2,27.65472156,58.59986279,6.974978386,"Low N-P-K: Add N-Primer Nitrogen Supplement, Ammonium Polyphosphate (APP), Potassium tetrafluoroborate"
32,47,9,28.52396666,55.77264351,7.39389918,"Low N-K, High P : Add Ammonium Sulfate, Potassium peroxodisulfate"
4,46,30,31.02215872,45.89239456,6.68727523,"Low N, High P-K: Add N-Primer Nitrogen Supplement"
39,58,29,25.74095321,45.38497051,7.88118645,"Low N, High P : Add Urea Fertilizer"
14,47,2,31.70447482,56.85420099,5.875333778,"Low N-K, High P : Add Ammonium Sulfate, Potassium peroxodisulfate"
2,41,33,24.47876451,58.51663927,8.202706015,"Low N, High K : Add Urea Fertilizer, dont add K rich nutrients"
14,51,8,31.46511256,51.79939437,8.985348193,"Low N, High P-K : Add Urea Fertilizer, dont add K rich nutrients"
35,52,23,25.60973447,50.7330069,5.87707519,"Low N, High P : Add N-Primer Nitrogen Supplement"
27,39,9,30.30260453,47.18283631,7.707595055,"Low N-K : Add Urea Fertilizer, Potassium-magnesium sulfate "
30,34,30,28.17489437,43.6672299,4.524171562,"Low N-P : Add N-Primer Nitrogen Supplement , Ammonium Polyphosphate (APP)"
24,37,3,25.50634557,44.8302551,9.926212291,"Low N-K : Add Urea Fertilizer, Potassium thiocyanate "
0,52,28,31.12896766,43.58788762,6.455592696,"Low N, High P : Add Ammonium Sulfate "
6,37,5,26.34043268,55.59160391,8.016210782,"Low N-K : Add N-Primer Nitrogen Supplement, Potassium nitrate"
24,23,38,28.23494706,61.5620517,3.71105919,"Low N-P, High K : Add Urea Fertilizer, Rock Phosphate"
32,50,7,27.04453473,49.32609633,5.49091063,"Low N-K, High P : Add Ammonium Sulfate, Potassium hydrogenfluoride"
13,49,32,25.16125354,55.25435777,9.254089438,"Low N, High P-K : Add Urea Fertilizer, dont add K rich nutrients"
40,48,8,27.3179125,51.66921088,6.005242945,"Low N-K, High P : Add Urea Fertilizer, Potassium acetate"
22,30,33,25.4123765,49.66474269,7.437078236,"Low N-P, High K : Add N-Primer Nitrogen Supplement, Superphosphate (OSP)"
35,54,0,31.21629982,46.01868196,3.808429173,"Low N-K, High P : Add Urea Fertilizer, Potassium cyanate"
18,55,6,30.573999,58.22686794,5.818219385,"Low N-K, High P : Add Ammonium Sulfate , Potassium tetrafluoroborate"
30,51,8,25.42517036,53.2208266,4.52363558,"Low N-K, High P : Add N-Primer Nitrogen Supplement , Potassium hydrogenfluoride"
14,59,16,27.09400578,43.65305437,3.510404312,"Low N-K, High P : Add Urea Fertilizer, Add Potassium chloride (0-0-60) "
7,40,38,24.30935081,56.32938343,6.030447288,"Low N, High K : Add Ammonium Sulfate , dont add K rich nutrients"
3,21,31,30.06142622,45.90067655,5.498340808,"Low N-P, High K : Add N-Primer Nitrogen Supplement, Diammonium Phosphate (DAP)"
21,22,5,28.09568993,60.9835384,4.61136408,"Low N-P-K: Add N-Primer Nitrogen Supplement, Ammonium Polyphosphate (APP), Potassium tetrafluoroborate"
40,30,38,26.33908791,40.00933429,5.545219232,"Low N-P, High K : Add N-Primer Nitrogen Supplement, Rock Phosphate"
0,40,4,28.61409059,57.14218792,8.292875734,"Low N-K : Add Urea Fertilizer, Potassium-magnesium sulfate "
29,46,32,28.70012137,44.359648,3.828031463,"Low N-K, High P : Add N-Primer Nitrogen Supplement, Potassium peroxodisulfate"
17,31,33,24.21610338,59.79236306,8.869532817,"Low N-P, High K : Add Urea Fertilizer, Superphosphate (OSP)"
35,59,16,28.50677929,45.20094476,3.793575185,"Low N-K, High P : Add Ammonium Sulfate , Potassium tetrafluoroborate"
32,45,16,25.97948991,64.95585424,4.193189124,"Low N-K, High P : Add N-Primer Nitrogen Supplement, Potassium thiocyanate"
8,37,36,30.88482722,41.36561835,7.661537348,"Low N, High K : Add Urea Fertilizer, dont add K rich nutrients"
1,25,5,25.5042419,61.66852372,9.392694614,"Low N-P-K: Add N-Primer Nitrogen Supplement, Ammonium Polyphosphate (APP), Potassium tetrafluoroborate"
29,29,10,25.12528913,51.33189406,4.516154055,"Low N-P-K: Add N-Primer Nitrogen Supplement, Ammonium Polyphosphate (APP), Potassium tetrafluoroborate"
25,56,35,27.10508014,63.56791363,5.794289715,"Low N, High P-K : Add Urea Fertilizer, dont add K rich nutrients"
15,48,39,31.1006247,44.82069159,7.354286985,"Low N, High P-K : Add Urea Fertilizer, dont add K rich nutrients"
16,23,30,26.45707778,56.40226277,5.993513566,"Low N-P, High K : Add Ammonium Sulfate , Concentrated Superphosphate (CSP), add only 1:1:0 nutrients"
14,58,1,30.04132304,63.56222995,8.620107545,"Low N-K, High P : Add N-Primer Nitrogen Supplement, Potassium nitrate"
26,39,40,27.77799528,54.82130787,9.45949344,"Low N, High K : Add N-Primer Nitrogen Supplement, increase the other two values to neutralize K"
9,20,18,30.99256944,43.02151392,8.0344125,"Low N-P-K: Add N-Primer Nitrogen Supplement, Ammonium Polyphosphate (APP), Potassium tetrafluoroborate"
26,43,13,26.4908332,47.36534833,5.414492777,"Low N-K : Add Urea Fertilizer, Potassium tetrafluoroborate"
7,22,1,31.96987867,57.17377029,6.276004336,"Low N-P-K: Add N-Primer Nitrogen Supplement, Ammonium Polyphosphate (APP), Potassium tetrafluoroborate"
1,37,2,25.36140526,46.82652785,9.160691747,"Low N-K : Add Ammonium Sulfate , Potassium tetrafluoroborate"
38,32,8,25.54249137,56.96640758,7.887658711,"Low N-P-K: Add N-Primer Nitrogen Supplement, Ammonium Polyphosphate (APP), Potassium tetrafluoroborate"
13,59,31,28.99319096,62.85948245,8.183844843,"Low N-K, High P : Add N-Primer Nitrogen Supplement, Potassium chloride (0-0-60) "
31,29,26,29.34317422,60.50320928,9.072011412,"Low N-P : Add Ammonium Sulfate , Diammonium Phosphate (DAP)"
25,38,9,28.63618921,61.39451307,7.702287236,"Low N-P, High K : Add Ammonium Sulfate , Diammonium Phosphate (DAP), add only 1:1:0 nutrients"
37,48,3,24.83206631,44.17085032,5.88509677,"Low N-K, High P : Add N-Primer Nitrogen Supplement, Potassium-magnesium sulfate "
20,52,27,25.44689075,58.55363573,6.16496284,"Low N-K, High P : Add Ammonium Sulfate , Potassium tetrafluoroborate"
4,22,12,31.01274943,62.40392519,3.504752314,"Low N-P-K: Add N-Primer Nitrogen Supplement, Ammonium Polyphosphate (APP), Potassium tetrafluoroborate"
12,44,5,27.06179658,52.3003173,7.388007483,"Low N-K : Add Ammonium Sulfate , Potassium peroxodisulfate"
26,40,12,27.0956288,42.26206161,8.340398059,"Low N-K : Add Ammonium Sulfate , Potassium peroxodisulfate"
24,55,4,28.56800579,57.30636014,8.66077954,"Low N-K, High P : Add Urea Fertilizer, Potassium thiocyanate"
34,45,23,28.79929247,49.84213387,3.558822825,Low N : Add N-Primer Nitrogen Supplement
7,29,20,27.94293692,45.41393636,5.9565851,"Low N-P-K: Add N-Primer Nitrogen Supplement, Ammonium Polyphosphate (APP), Potassium tetrafluoroborate"
2,34,40,30.47757686,61.58245338,9.416003106,"Low N-P, High K : Add Urea Fertilizer, Concentrated Superphosphate (CSP)"
32,50,21,30.58139475,50.77148138,8.18422855,"Low N-K, High P : Add Ammonium Sulfate , Potassium nitrate"
6,26,24,26.85911286,41.81420849,5.131779302,"Low N-P : Add N-Primer Nitrogen Supplement, Ammonium Polyphosphate (APP)"
2,47,26,26.31051759,61.18749126,6.294130313,"Low N-P : Add N-Primer Nitrogen Supplement, Ammonium Polyphosphate (APP)"
40,25,32,28.77833449,44.2252605,7.991902443,"Low N-P, High K : Add Ammonium Sulfate , Diammonium Phosphate (DAP)"
40,36,35,28.90245417,43.35365671,8.923095695,"Low N, High K : Add N-Primer Nitrogen Supplement, increase the other two values to neutralize K"
3,30,10,29.37687468,57.69622912,6.878498176,"Low N-P-K: Add N-Primer Nitrogen Supplement, Ammonium Polyphosphate (APP), Potassium tetrafluoroborate"
7,37,37,24.17093241,58.25204566,5.243634849,"Low N, High K : Add Ammonium Sulfate , dont add K rich nutrients"
17,39,15,26.65333029,59.79023382,7.550090941,"Low N-P : Add N-Primer Nitrogen Supplement, Ammonium Polyphosphate (APP)"
4,20,30,28.19912143,53.50567601,8.709291688,"Low N-P, High K : Add Urea Fertilizer, Diammonium Phosphate (DAP)"
2,60,24,28.76488954,52.62741529,7.792508068,"Low N-K, High P : Add Ammonium Sulfate , Ammonium Polyphosphate (APP)"
32,30,10,29.3499706,61.25353851,8.055908858,"Low N-P-K: Add N-Primer Nitrogen Supplement, Ammonium Polyphosphate (APP), Potassium tetrafluoroborate"
0,32,29,28.00937423,52.60950014,4.397698806,"Low N-P-K: Add N-Primer Nitrogen Supplement, Ammonium Polyphosphate (APP), Potassium tetrafluoroborate"
15,30,21,26.85851927,48.8246387,5.952384957,"Low N-P : Add Ammonium Sulfate , Diammonium Phosphate (DAP)"
5,46,36,31.2123945,40.92604945,8.532078733,"Low N, High P-K : Add Urea Fertilizer, dont add K rich nutrients"
30,59,7,24.20422636,61.43378674,7.224193642,"Low N-K, High P : Add Urea Fertilizer, Potassium acetate"
38,53,16,29.98835437,49.60384796,4.931890506,"Low N-K, High P : Add Ammonium Sulfate , Potassium cyanate"
2,58,1,29.93964907,54.61813464,4.626212446,"Low N-K, High P : Add Ammonium Sulfate , Potassium tetrafluoroborate"
22,40,14,31.2119298,41.55934359,5.026003659,"Low N-K : Add Ammonium Sulfate , Potassium chloride (0-0-60) "
19,35,15,26.80474415,48.23991436,3.5253661,"Low N-P-K: Add N-Primer Nitrogen Supplement, Ammonium Polyphosphate (APP), Potassium tetrafluoroborate"
10,40,13,31.49398069,62.84916863,8.86979671,"Low N-K : Add Ammonium Sulfate , Potassium-magnesium sulfate "
31,44,12,30.99694676,46.42693735,9.406887533,"Low N-K : Add N-Primer Nitrogen Supplement , PPotassium peroxodisulfate"
5,34,27,29.61253065,63.04749127,5.80428611,"Low N-P : Add Urea Fertilizer, Ammonium Polyphosphate (APP)"
6,31,33,29.97604322,57.03184356,8.35495812,"Low N-P, High K : Add Urea Fertilizer, Rock Phosphate, add only 1:1:0 nutrients"
22,36,15,30.88883074,52.62696801,8.634929739,"Low N-P-K: Add N-Primer Nitrogen Supplement, Ammonium Polyphosphate (APP), Potassium tetrafluoroborate"
22,25,21,30.39321309,60.16299493,7.699200949,"Low N-P-K: Add N-Primer Nitrogen Supplement, Ammonium Polyphosphate (APP), Potassium tetrafluoroborate"
32,32,36,30.43683729,55.20522037,5.261285926,"Low N-P, High K : Add Urea Fertilizer, Rock Phosphate, add only 1:1:0 nutrients"
40,44,28,25.32688786,63.18180319,9.112771682,Low N : Add N-Primer Nitrogen Supplement
6,48,33,30.53684308,59.96664731,4.605700542,"Low N-P-K: Add N-Primer Nitrogen Supplement, Ammonium Polyphosphate (APP), Potassium tetrafluoroborate"
19,23,18,30.38257873,40.5926071,7.115994051,"Low N-P-K: Add N-Primer Nitrogen Supplement, Ammonium Polyphosphate (APP), Potassium tetrafluoroborate"
11,30,36,24.01825377,53.76623369,7.214078621,"Low N-P, High K : Add Ammonium Sulfate , Diammonium Phosphate (DAP)"
2,53,35,28.69841277,61.14754363,9.93509073,"Low N-K, High P : Add N-Primer Nitrogen Supplement, Potassium hydrogenfluoride"
18,42,36,29.33743412,49.00323081,8.914074888,"Low N, High K : Add Ammonium Sulfate , dont add K rich nutrients"
15,57,20,27.96583691,61.34900107,8.639586199,"Low N-K, High P : Add N-Primer Nitrogen Supplement, Potassium tetrafluoroborate"
24,21,37,24.86803974,48.27531965,8.621514073,"Low N-P, High K : Add Ammonium Sulfate ,  Potassium chloride (0-0-60) "
14,55,31,25.87682261,45.96341933,5.838508699,"Low N, High P-K : Add Urea Fertilizer, dont add K rich nutrients"
7,57,11,31.01963639,49.9767522,3.532008668,"Low N-K, High P : Add N-Primer Nitrogen Supplement, Potassium nitrate"
35,51,27,27.43329405,87.80507732,7.18530147,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
34,57,26,28.3340432,80.77275974,7.034214276,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
8,45,23,27.01470397,84.34262707,6.635968698,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
12,55,7,28.17432665,81.04554836,6.828187499,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
35,42,8,29.87888063,87.32761241,6.89077995,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
21,56,13,29.89232778,89.71503316,7.165121109,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
25,46,38,28.56212158,83.24855855,6.935804256,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
10,20,17,27.53592929,85.5701901,7.196774236,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
5,60,28,29.68361658,87.93598094,6.990095452,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
39,49,31,28.14448546,82.1193047,7.064782138,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
40,29,18,29.53037621,86.73346018,7.156563094,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
19,23,20,27.88352946,86.45147631,6.364967184,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
10,21,10,28.22471276,82.35916228,6.428054409,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
11,24,31,29.008124,84.96089355,6.664187809,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
38,36,12,29.75538903,86.45193297,6.637677489,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
34,50,35,29.78416743,85.16906976,6.79385576,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
34,25,9,27.8640132,80.4513142,6.852884643,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
35,45,3,27.11026483,84.96771717,7.121571293,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
33,24,0,27.11030369,83.64274107,6.883308033,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
8,53,6,28.95451232,89.07866095,6.421271178,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
15,52,36,29.21780035,87.93724219,6.54450214,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
33,45,17,28.7420098,85.81675947,6.452006451,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
38,59,29,29.65021184,80.29868321,6.489259136,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
11,59,13,27.23924995,86.404241,6.713410626,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
6,49,5,28.95172351,81.67085323,6.510840928,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
15,41,38,28.18837136,82.60629652,6.287380117,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
26,57,18,28.30041493,86.20681554,6.86308576,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
32,36,10,27.89636126,88.71782287,6.78415271,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
16,41,30,28.6899851,87.50436797,6.769415888,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
4,54,27,27.8262623,88.73100226,6.320768488,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
29,29,36,28.70562673,81.59200689,6.705008504,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
26,24,4,28.6362812,84.61431076,6.790736339,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
13,51,5,28.28511547,88.4393979,7.130278657,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
20,33,6,27.60887393,86.13316408,7.012740397,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
26,47,14,28.60901145,86.99495766,7.155685016,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
15,24,22,29.24598976,84.80084105,6.991242362,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
30,51,23,28.62911222,89.1148059,6.218923893,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
7,56,22,29.57329479,88.07505524,7.199495368,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
20,33,6,27.82684262,87.16679147,6.389882166,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
7,60,17,29.8757015,83.14796296,6.623438282,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
28,24,8,27.33684386,88.50229102,7.033012777,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
36,23,39,29.83040388,89.30428305,6.32400451,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
20,34,4,28.2753171,82.76020821,6.397636709,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
6,51,11,29.86860065,85.99127934,6.401455706,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
19,45,28,29.5888162,89.9939693,6.904587016,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
0,30,0,28.07219563,82.9116472,6.478557136,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
18,58,14,27.84026517,89.99615558,7.063022095,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
2,29,33,27.10818093,87.4512669,6.981758362,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
23,27,34,27.68515114,81.94268594,6.227134139,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
22,49,20,29.34594634,85.60472562,6.232836962,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
8,28,12,28.36319404,84.8593608,7.140437859,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
24,28,13,27.65280218,89.80650642,6.459252023,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
22,22,13,27.31372793,85.44815232,6.568795404,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
40,21,13,27.06909959,86.89934108,7.12851089,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
3,51,2,28.06642822,85.91625451,6.42937879,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
17,30,19,27.73329078,81.13903037,6.248900919,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
38,53,16,27.53632932,89.92908171,6.619891498,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
25,57,14,29.66461594,84.28187572,6.377568542,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
18,27,23,29.9145443,85.85384444,6.415459592,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
1,60,21,28.36363858,87.59810657,6.320662012,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
23,49,40,29.46416042,87.60890009,6.978400282,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
23,57,27,29.73013036,82.89166381,6.442335593,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
4,29,21,27.46852989,87.17649,7.184398832,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
18,40,18,27.77076285,87.09979549,6.402926221,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
13,25,20,29.12939524,88.48312598,7.085982325,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
26,30,5,27.10606808,89.89593328,6.698574085,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
12,40,8,28.88078945,86.94206817,6.594739424,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
4,34,3,28.14720892,83.8001509,6.647965508,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
17,42,25,29.89129144,80.14487166,7.120032489,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
20,46,2,27.41503453,80.98004661,6.91380932,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
7,57,28,29.27308605,89.4875022,7.073048264,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
8,36,30,29.65296893,88.48587386,6.5304707,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
12,54,23,28.44524991,82.67639542,6.684381357,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
7,39,1,27.96235681,83.97586797,6.581351374,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
24,50,33,29.25649321,81.97952224,6.86483915,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
20,43,33,28.36291385,88.00989267,6.487124217,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
33,39,34,27.62749466,86.49366929,6.605733068,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
14,55,23,28.66086349,86.12194568,6.860602782,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
35,27,36,29.2114218,87.11497805,6.41874299,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
13,54,33,29.40889385,86.16063492,6.365513634,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
3,46,29,28.02952623,84.8845732,6.556372966,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
25,32,40,28.08657178,80.35005927,6.760694228,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
18,44,23,29.16174608,80.28038146,6.715276663,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
32,33,9,29.8596912,80.03499648,6.666380512,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
33,45,12,29.06631494,83.6869203,6.626629798,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
34,34,14,27.38538997,88.66663953,6.702772465,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
33,32,18,27.93034941,85.42058715,7.011030515,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
34,43,8,29.2808618,81.8009244,6.890156495,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
21,59,13,28.9973145,83.78911515,6.821747052,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
13,55,32,27.92678579,86.5543196,7.183189922,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
34,56,32,28.5474135,88.9570454,6.27258822,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
29,39,2,29.36488409,89.1886954,6.679127482,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
27,51,3,28.56149805,83.63802195,6.689825155,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
31,45,34,28.43683487,87.91332682,6.583381939,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
26,40,19,28.79728147,80.45744422,6.725551062,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
6,29,17,28.7275267,89.12760359,7.069747814,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
25,35,31,27.95639663,83.52706038,6.921993878,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
37,41,14,28.17458662,83.69659318,6.770955317,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
0,38,31,28.77653519,86.69133979,6.983130466,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
24,56,17,28.438097,83.48991368,6.267684328,"15-20 kg nitrogen, 30-40 kg phosphorus should be applied at the time of sowing. "
49,46,4,29.48439992,63.19915325,7.454532137,"Apply 25 kg N, 50 kg P2O5, 25 kg K2O before sowing the seeds and add 1% Urea and 2% DAP after 30-45days"
37,72,8,26.73433965,68.13999721,7.040056094,"Apply 25 kg N, 50 kg P2O5, 25 kg K2O before sowing the seeds and add 1% Urea and 2% DAP after 30-45days"
40,59,28,26.27274407,62.28814857,7.418650668,"Apply 25 kg N, 50 kg P2O5, 25 kg K2O before sowing the seeds and add 1% Urea and 2% DAP after 30-45days"
43,76,29,34.03679184,67.21113844,6.501869314,"Apply 25 kg N, 50 kg P2O5, 25 kg K2O before sowing the seeds and add 1% Urea and 2% DAP after 30-45days"
45,58,38,28.03644051,65.06601664,6.814410928,"Apply 25 kg N, 50 kg P2O5, 25 kg K2O before sowing the seeds and add 1% Urea and 2% DAP after 30-45days"
56,45,12,28.81460716,65.33538112,7.581442888,"Apply 25 kg N, 50 kg P2O5, 25 kg K2O before sowing the seeds and add 1% Urea and 2% DAP after 30-45days"
59,61,38,34.03619494,64.28791388,7.741418772,"Apply 25 kg N, 50 kg P2O5, 25 kg K2O before sowing the seeds and add 1% Urea and 2% DAP after 30-45days"
